osm_id,osm_type,population,is_in,admin_level,boundary,name,place,longitude,latitude,geom_type
"9448364488",nodes,,,,,སྤུ་ན་ཁ་,town,89.8593094,27.5842857,POINT
"9209864180",nodes,,,,,Changjokha,hamlet,89.6362388,27.4336702,POINT
"9240635528",nodes,,,,,Eusakha,isolated_dwelling,89.5344543,27.3070366,POINT
"9240635530",nodes,,,,,Chinakha,isolated_dwelling,89.5316756,27.3162834,POINT
"9240635531",nodes,,,,,Chhugo,hamlet,89.5209521,27.3162214,POINT
"9240635532",nodes,,,,,Chokha,hamlet,89.5246264,27.3232841,POINT
"9240635544",nodes,,,,,Chiphu,hamlet,89.5317936,27.3398069,POINT
"9240635543",nodes,,,,,Tenchhekha,hamlet,89.54602,27.332859,POINT
"9240449701",nodes,,,,,Labu Goenpa,hamlet,89.4984216,27.3930881,POINT
"9240449702",nodes,,,,,Miuchiminang,hamlet,89.5063453,27.3937024,POINT
"9240449711",nodes,,,,,Zilungkha,hamlet,89.6297157,27.4908655,POINT
"9240449710",nodes,,,,,Wangditse Goemba,isolated_dwelling,89.6265024,27.4957002,POINT
"9209899700",nodes,,,,,Phajoding,village,89.5717263,27.4915984,POINT
"6160456182",nodes,,,,,Kyichu,town,89.3798219,27.4393548,POINT
"247439158",nodes,,,,,སྤ་རོ,city,89.412987,27.4307674,POINT
"1985259858",nodes,,,,,Chimithangkha,hamlet,89.5290099,27.4403611,POINT
"9209550347",nodes,,,,,Jidekha,hamlet,89.5071382,27.4508185,POINT
"9209550346",nodes,,,,,Tshalunang,hamlet,89.5253381,27.4626809,POINT
"9930475215",nodes,,,,,Chenpa,village,89.2197906,27.4197184,POINT
"10157645538",nodes,,,,,Menzhikha,isolated_dwelling,89.2789851,27.2916951,POINT
"10157649461",nodes,,,,,Shompa,hamlet,89.2890859,27.2844786,POINT
"8793203431",nodes,,,,,Shari,village,89.3187579,27.2696644,POINT
"6230116771",nodes,,,,,Geptey,village,89.403989,27.426852,POINT
"6230116773",nodes,,,,,Khangkhu,village,89.4155145,27.4120048,POINT
"6229947936",nodes,,,,,Mombichhokha,village,89.2869615,27.3931263,POINT
"10152379700",nodes,,,,,,hamlet,89.2961588,27.3838001,POINT
"2019365636",nodes,,,,,ཧཱ,town,89.2917476,27.3700583,POINT
"6229947940",nodes,,,,,Bondey,village,89.4254065,27.3899493,POINT
"316753052",nodes,"11648",,,,Haa Dzongkhag,county,89.183333,27.333333,POINT
"3020675418",nodes,,,,,细姆,isolated_dwelling,88.9493407,27.3153492,POINT
"7964893886",nodes,,,,,,isolated_dwelling,88.8854805,27.2695122,POINT
"5475067731",nodes,,,,,Chhaju,village,88.8822742,27.1923813,POINT
"6525388994",nodes,,,,,Targothang,hamlet,88.8663592,27.1573556,POINT
"6480267939",nodes,,,,,Khentong,hamlet,88.8616162,27.1458534,POINT
"6525383597",nodes,,,,,Miglamthang-Thangpzosa,village,88.8973502,27.1510414,POINT
"10276141020",nodes,,,,,Shago,hamlet,88.9191019,27.1619798,POINT
"6524685850",nodes,,,,,Kuchhenthang,hamlet,88.8875559,27.1227964,POINT
"8804436047",nodes,,,,,Dzongsar,hamlet,88.8827274,27.1066328,POINT
"6535361116",nodes,,,,,Paren,village,88.8734078,27.0636736,POINT
"6535361149",nodes,,,,,Bindu,village,88.8716429,27.0986121,POINT
"5475067734",nodes,,,,,Tendu,town,88.8731235,27.1223419,POINT
"5475067789",nodes,,,,,Chamju,village,88.8533181,27.1640644,POINT
"6525461553",nodes,,,,,Migphelgang,village,88.8545122,27.1290662,POINT
"6525461552",nodes,,,,,Samphelgang,village,88.8453086,27.1264595,POINT
"6525461549",nodes,,,,,Norgaygang,village,88.847266,27.1251302,POINT
"6525461550",nodes,,,,,Karmaling,village,88.8555324,27.1204516,POINT
"5641875850",nodes,,,,,Todey,village,88.8252278,27.1108271,POINT
"8138514813",nodes,"180",,,,庞达村,village,89.0074939,27.307483,POINT
"6482158108",nodes,,,,,那塘,hamlet,88.9693298,27.3342,POINT
"6535361155",nodes,,,,,Rongo,village,88.8358784,27.0385628,POINT
"5475067404",nodes,,,,,Gariabas,village,88.8656552,27.024001,POINT
"6480611229",nodes,,,,,Miglamthang,village,88.9022211,27.1510182,POINT
"568606427",nodes,,,,,Ramshai,village,88.8543703,26.7242997,POINT
"10536739103",nodes,,,,,Tharphu,hamlet,88.9368045,26.9893377,POINT
"10536705767",nodes,,,,,Niguri,village,88.9618778,27.0550555,POINT
"9351330049",nodes,,,,,,hamlet,88.9743626,27.0427072,POINT
"10536739102",nodes,,,,,Kharsaling,village,88.9418471,26.9981042,POINT
"4552882619",nodes,,,,,夏日 ཤར་རི,village,88.9447988,27.4225573,POINT
"2510138994",nodes,,,,,下亚东乡 གྲོ་མོ་སྨད་ཆུས,town,88.9274064,27.4293501,POINT
"5641137378",nodes,,,,,赛如布,hamlet,89.0285897,27.5313736,POINT
"5475067756",nodes,,,,,,hamlet,88.9930301,27.0776244,POINT
"5601805129",nodes,,,,,淑公,hamlet,88.9601719,27.3709765,POINT
"6480578519",nodes,,,,,Kachin,village,88.9167734,27.1451026,POINT
"6480604963",nodes,,,,,Domdongsa,hamlet,88.925233,27.1621255,POINT
"342098676",nodes,,,,,Kupup camp,neighbourhood,88.8403845,27.3435375,POINT
"6517949147",nodes,,,,,,village,88.8385483,27.1631739,POINT
"6229757549",nodes,,,,,Sampheling,village,89.7305774,26.7648091,POINT
"5045967558",nodes,,,,,如丙岗村,village,88.9651072,27.5199849,POINT
"4552883193",nodes,,,,,岗古村 སྒང་དགུ,village,88.9394375,27.5172849,POINT
"9916059766",nodes,,,,,朗玛浦村3号点,neighbourhood,89.0038659,27.472443,POINT
"5594190263",nodes,,,,,仲马岗,hamlet,89.0620316,27.4334083,POINT
"4042146887",nodes,,,,,春丕淌,hamlet,88.867659,27.4200813,POINT
"5045843335",nodes,,,,,仁青岗村 རིན་ཆེན་སྒང,village,88.928318,27.4301802,POINT
"3019325003",nodes,,,,,帕里镇 ཕག་ར,town,89.1529621,27.7236427,POINT
"9352205589",nodes,,,,,Khuzhuggang,hamlet,89.1506047,27.039814,POINT
"2921974651",nodes,,,,,吉汝乡 སྒེར་རུ་,town,89.0495214,28.1787208,POINT
"2603885111",nodes,,,,,古汝村 རྒུར་རུ,village,89.2778486,28.0894569,POINT
"342098725",nodes,,,,,Tsomgo,village,88.7566799,27.3754372,POINT
"342098706",nodes,,,,,Sherathang,village,88.8152126,27.3803999,POINT
"3677476798",nodes,,,,,Binnaguri,village,89.053131,26.7451806,POINT
"3677482325",nodes,,,,,Binnaguri Cantonment,suburb,89.0729278,26.7450695,POINT
"3678211047",nodes,,,,,Hasimara,village,89.3498394,26.7304173,POINT
"1894235087",nodes,"6626",,,,Bharnobari Tea Garden,village,89.3700914,26.7487639,POINT
"9567086965",nodes,,,,,Dumpha Line,hamlet,89.2255863,26.7452229,POINT
"11639912342",nodes,,,,,Betsamang,village,91.4710684,27.6574613,POINT
"11639957274",nodes,,,,,Teru,village,91.5039789,27.6608521,POINT
"6367783226",nodes,,,,,Bakpa,village,91.6030526,27.4808559,POINT
"11644725813",nodes,,,,,Chhemkhar,hamlet,91.6218298,27.4797134,POINT
"11644725819",nodes,,,,,Pajab,village,91.5980381,27.4874232,POINT
"10864254036",nodes,,,,,,hamlet,91.7135652,27.511678,POINT
"342097839",nodes,,,,,Senu,village,91.8640359,27.568186,POINT
"8939518944",nodes,,,,,Khiliphu,village,92.0177941,27.1933491,POINT
